species,accession,annotation
Lipomyces doorenjongii,GCF_038497915.1,RefSeq
Lipomyces japonicus,GCF_038497905.1,RefSeq
Lipomyces oligophaga,GCF_038497815.1,RefSeq
Lipomyces tetrasporus,GCF_029532465.1,RefSeq
Lobosporangium transversale,GCF_002105155.1,RefSeq
Macroventuria anomochaeta,GCF_010093625.1,RefSeq
Metarhizium brunneum,GCF_013426205.1,RefSeq
Metarhizium robertsii,GCF_000187425.2,RefSeq
Mollisia scopiformis,GCF_001500285.1,RefSeq
Morchella importuna,GCF_003444635.1,RefSeq
Mucor mucedo,GCF_025094135.1,RefSeq
Mucor velutinosus,GCF_035048745.1,RefSeq
Mycotypha africana,GCF_025528875.1,RefSeq
Mytilinidion resinicola,GCF_010093595.1,RefSeq
Myxozyma melibiosi,GCF_037950935.1,RefSeq
Nakaseomyces glabratus,GCF_010111755.1,RefSeq
Nannizzia gypsea,GCF_000150975.2,RefSeq
Naumovozyma dairenensis,GCF_000227115.2,RefSeq
Neoarthrinium moseri,GCF_022829205.1,RefSeq
Neohortaea acidophila,GCF_010093505.1,RefSeq
Neurospora crassa,GCF_000182925.2,RefSeq
Neurospora tetraspora,GCF_033439725.1,RefSeq
Paecilomyces variotii,GCF_004022145.1,RefSeq
Paraphaeosphaeria sporulosa,GCF_001642045.1,RefSeq
Parathielavia appendiculata,GCF_033297405.1,RefSeq
Penicillium alfredii,GCF_028826965.1,RefSeq
Penicillium angulare,GCF_028827245.1,RefSeq
Penicillium argentinense,GCF_028826775.1,RefSeq
Penicillium atrosanguineum,GCF_028827265.1,RefSeq
Penicillium bovifimosum,GCF_028826915.1,RefSeq
Penicillium brevicompactum,GCF_028827555.1,RefSeq
Penicillium canariense,GCF_028826845.1,RefSeq
Penicillium cataractarum,GCF_028827025.1,RefSeq
Penicillium chrysogenum,GCF_028827035.1,RefSeq
Penicillium cinerascens,GCF_028974065.1,RefSeq
Penicillium concentricum,GCF_028827145.1,RefSeq
Penicillium coprophilum,GCF_028826855.1,RefSeq
Penicillium daleae,GCF_028827525.1,RefSeq
Penicillium digitatum,GCF_016767815.1,RefSeq
Penicillium expansum,GCF_000769745.1,RefSeq
Penicillium griseofulvum,GCF_001561935.1,RefSeq
Penicillium hispanicum,GCF_028827665.1,RefSeq
Penicillium macrosclerotiorum,GCF_028827735.1,RefSeq
Penicillium malachiteum,GCF_028827825.1,RefSeq
Penicillium nucicola,GCF_028828085.1,RefSeq
Penicillium odoratum,GCF_028828045.1,RefSeq
Penicillium oxalicum,GCF_001723175.1,RefSeq
Penicillium paradoxum,GCF_028828445.1,RefSeq
Penicillium psychrosexuale,GCF_028828465.1,RefSeq
Penicillium pulvis,GCF_028828015.1,RefSeq
Penicillium robsamsonii,GCF_028829455.1,RefSeq
Penicillium solitum,GCF_028829755.1,RefSeq
Penicillium soppii,GCF_028829465.1,RefSeq
Penicillium subrubescens,GCF_028828155.1,RefSeq
Penicillium taxi,GCF_028828555.1,RefSeq
Penicillium verhagenii,GCF_028828195.1,RefSeq
Phycomyces blakesleeanus,GCF_001638985.1,RefSeq
Phyllosticta capitalensis,GCF_038381095.1,RefSeq
Phyllosticta citribraziliensis,GCF_038025025.1,RefSeq
Plenodomus lingam,GCF_022343315.1,RefSeq
Pleurotus ostreatus,GCF_014466165.1,RefSeq
Polychytrium aggregatum,GCF_025602895.1,RefSeq
Postia placenta,GCF_002117355.1,RefSeq
Priceomyces carsonii,GCF_900007245.1,RefSeq
Pseudocercospora fijiensis,GCF_000340215.1,RefSeq
Pseudogymnoascus verrucosus,GCF_001662655.1,RefSeq
Pseudomassariella vexata,GCF_002105095.1,RefSeq
Pseudozyma flocculosa,GCF_000417875.1,RefSeq
Pseudozyma hubeiensis,GCF_000403515.1,RefSeq
Psilocybe cubensis,GCF_017499595.1,RefSeq
Purpureocillium lilacinum,GCF_023168085.1,RefSeq
Purpureocillium takamizusanense,GCF_022605165.1,RefSeq
Pyricularia grisea,GCF_004355905.1,RefSeq
Pyricularia oryzae,GCF_000002495.2,RefSeq
Pyricularia pennisetigena,GCF_004337985.1,RefSeq
Radiomyces spectabilis,GCF_025331425.1,RefSeq
Ramularia collo-cygni,GCF_900074925.1,RefSeq
Rhizophagus irregularis,GCF_026210795.1,RefSeq
Rhizopus microsporus,GCF_002708625.1,RefSeq
Rhodotorula toruloides,GCF_000320785.1,RefSeq
Saccharomyces cerevisiae,GCF_000146045.2,RefSeq
Saccharomyces kudriavzevii,GCF_947243775.1,RefSeq
Saccharomyces mikatae,GCF_947241705.1,RefSeq
Saccharomyces paradoxus,GCF_002079055.1,RefSeq
Saitoella complicata,GCF_001661265.1,RefSeq
Saprochaete ingens,GCF_902498895.1,RefSeq
Scheffersomyces amazonensis,GCF_036850825.1,RefSeq
Scheffersomyces stipitis,GCF_000209165.1,RefSeq
Scheffersomyces xylosifermentans,GCF_036884685.1,RefSeq
Schizosaccharomyces cryophilus,GCF_000004155.1,RefSeq
Schizosaccharomyces japonicus,GCF_000149845.2,RefSeq
Schizosaccharomyces octosporus,GCF_000150505.1,RefSeq
Schizosaccharomyces pombe,GCF_000002945.2,RefSeq
Sodiomyces alkalinus,GCF_003711515.1,RefSeq
Sordaria macrospora,GCF_033870435.1,RefSeq
Sparassis crispa,GCF_003851025.1,RefSeq
Sphaerulina musiva,GCF_000320565.1,RefSeq
Spizellomyces punctatus,GCF_000182565.1,RefSeq
Stereum hirsutum,GCF_000264905.1,RefSeq
Suhomyces tanzawaensis,GCF_001661415.1,RefSeq
Suillus bovinus,GCF_016758785.1,RefSeq
Suillus clintonianus,GCF_016758775.1,RefSeq
Suillus fuscotomentosus,GCF_016647785.1,RefSeq
Suillus paluster,GCF_016628075.1,RefSeq
Suillus plorans,GCF_016647745.1,RefSeq
Suillus subalutaceus,GCF_016647625.1,RefSeq
Synchytrium microbalum,GCF_006535985.1,RefSeq
Talaromyces proteolyticus,GCF_021365285.1,RefSeq
Talaromyces stipitatus,GCF_000003125.1,RefSeq
Torulaspora delbrueckii,GCF_000243375.1,RefSeq
Torulaspora globosa,GCF_014133895.1,RefSeq
Trametes versicolor,GCF_000271585.1,RefSeq
Trematosphaeria pertusa,GCF_010094035.1,RefSeq
Trichoderma aggressivum,GCF_033847375.1,RefSeq
Trichoderma breve,GCF_028502605.1,RefSeq
Trichoderma harzianum,GCF_003025095.1,RefSeq
Trichoderma reesei,GCF_000167675.1,RefSeq
Trichoderma virens,GCF_000170995.1,RefSeq
Truncatella angustata,GCF_020726525.1,RefSeq
Umbelopsis ramanniana,GCF_025399195.1,RefSeq
Ustilaginoidea virens,GCF_000687475.1,RefSeq
Ustilago hordei,GCF_900519145.1,RefSeq
Ustilago maydis,GCF_000328475.2,RefSeq
Venustampulla echinocandica,GCF_003357145.1,RefSeq
Westerdykella ornata,GCF_010094085.1,RefSeq
Wickerhamomyces anomalus,GCF_001661255.1,RefSeq
Xylaria bambusicola,GCF_022495145.1,RefSeq
Yarrowia lipolytica,GCF_014490615.1,RefSeq
Zasmidium cellare,GCF_010093935.1,RefSeq
Zychaea mexicana,GCF_025766255.1,RefSeq
Zygotorulaspora mrakii,GCF_013402915.1,RefSeq
